word,count
,2
Shiretoko,19
Peninsula,11
hant,1
is,15
located,1
on,9
the,77
easternmost,1
portion,2
of,48
Japanese,6
island,1
Hokkaid,2
protruding,1
into,1
Sea,8
Okhotsk,7
It,3
separated,1
from,10
Kunashir,1
Island,2
which,4
now,2
occupied,2
by,8
Russia,2
Nemuro,2
Strait,2
The,14
name,2
derived,1
Ainu,1
word,1
sir,1
etok,1
meaning,1
end,1
Earth,2
or,5
place,1
where,4
protrudes,1
towns,1
Rausu,4
and,28
Shari,4
are,9
found,1
peninsula,13
was,6
registered,1
as,5
a,13
UNESCO,2
World,2
Heritage,2
Site,1
in,24
2005,2
recognition,1
being,1
southernmost,1
point,1
sea,4
ice,4
usually,1
forms,1
Northern,1
Hemisphere,1
Geography,1
From,2
Cape,1
at,5
tip,1
series,1
volcanoes,1
run,1
down,1
including,7
Mount,24
Unabetsu,2
I,2
part,1
Chishima,1
volcanic,2
zone,2
highest,2
peak,1
70,1
kilometres,2
43,2
mi,3
long,3
25,1
16,1
wide,1
its,1
base,1
covers,2
some,2
123,1
000,3
hectares,1
470,1
sq,1
bounded,1
northwest,1
side,6
southeast,2
Pacific,4
Ocean,1
To,2
east,2
Kunashiri,3
runs,1
parallel,1
to,13
can,3
be,5
seen,4
has,5
been,8
since,1
September,2
1,2
1945,1
disputed,1
Japan,3
cold,1
Oyashio,2
Current,4
flows,2
southwest,1
along,3
Soya,2
until,1
it,2
redirected,1
north,2
west,2
In,3
winter,2
carries,1
south,1
dams,1
resulting,1
lowest,1
latitude,1
regularly,1
occurring,1
earth,1
degrees,1
made,2
several,5
onsen,1
possible,1
Seseki,1
Onsen,2
Iwaobetsu,1
List,3
peaks,3
Poromoi,1
Dokkarimui,1
Rusha,1
Higashi,1
Chienbetsu,1
Minami,1
Okkabake,1
Sashirui,1
Chinnishibetsu,1
Onnebetsu,2
Samakke,1
Nupuri,1
Shibetsu,2
Climate,1
profound,1
impact,1
weather,1
short,2
summers,1
winters,1
current,1
causes,1
fog,1
southeastern,1
coast,2
Snow,1
June,3
except,1
very,1
retain,1
snow,1
all,2
summer,1
Flora,1
fauna,1
home,1
many,1
species,7
both,1
conifers,1
broadleaf,1
trees,2
acorn,1
bearing,1
Quercus,1
mongolica,1
mizunara,1
Siberian,1
dwarf,1
pine,1
grow,1
above,1
metres,1
3,1
ft,1
Red,1
foxes,1
sika,1
deer,1
also,2
inhabit,2
area,5
There,3
large,1
number,1
Ussuri,1
brown,1
bears,1
upper,1
reaches,1
only,1
known,2
breeding,1
areas,2
Arctic,1
warblers,1
eagles,1
flourish,1
here,1
seals,1
often,1
last,1
confirmed,1
record,3
otter,1
Hokkaido,3
RiverWhale,1
watching,1
popular,1
attraction,1
for,4
tourists,1
Thirteen,1
fourteen,1
cetaceans,1
have,8
recorded,1
Especially,1
orcas,1
killer,1
whales,18
waters,4
surrounding,1
regarded,1
one,3
most,3
significant,1
habitat,1
northwestern,1
notable,2
mass,1
stranding,1
twelve,1
animals,3
February,1
Nine,1
died,1
2019,5
two,1
white,4
individuals,2
sighted,1
2021,1
were,1
few,1
places,1
groups,1
male,1
sperm,1
beaked,8
Baird,2
s,7
spotted,1
shore,3
Other,1
frequently,2
include,1
minke,1
sided,1
dolphins,1
Dall,1
porpoises,2
harbour,1
Newly,1
described,1
Sato,1
whale,3
inhabits,1
well,1
Endangered,1
populations,1
humpback,1
fin,1
started,1
recover,1
recent,1
years,2
Some,1
beluga,1
that,2
thought,3
vagrants,1
endangered,3
population,1
northern,1
do,1
occur,1
specifically,1
sub,1
adult,1
individual,1
continuously,1
appeared,1
town,1
2000s,1
North,1
right,1
great,2
observed,2
close,2
mainly,1
times,1
2013,2
2018,2
with,1
sightings,1
noted,1
sighting,4
same,1
tour,1
operator,1
Doutou,1
Kanko,1
Kaihatsu,1
Corporation,1
jp,1
21,1
23,2
2015,1
first,2
ever,1
bowhead,1
EEZ,1
occurred,1
nation,1
catch,1
Osaka,1
Bay,1
1969,1
Several,1
records,1
whaling,1
days,1
show,1
blue,1
harpooned,1
landed,1
Abashiri,2
port,1
though,2
this,2
normally,1
does,1
not,1
enter,1
adjacent,1
seas,1
almost,1
extinct,2
As,1
deep,1
productive,1
water,1
favor,1
Cuvier,1
Stejneger,1
others,1
largest,1
group,1
An,1
unidentified,1
form,1
subspecies,1
off,1
Long,1
finned,2
pilot,2
once,1
inhabited,1
around,1
become,1
12th,1
century,1
but,1
unconfirmed,1
reported,1
out,1
their,1
normal,1
range,1
flora,1
diversity,1
endemic,1
Cymathaere,1
japonica,1
such,1
Viola,1
kitamiana,1
named,1
after,1
Dendranthema,1
arcticum,1
Astragalus,1
japonicus,1
Conservation,1
efforts,1
protect,1
wild,1
natural,1
environment,1
1964,1
designated,1
National,2
Park,2
Since,1
then,1
park,1
subject,1
strict,1
regulation,1
nature,1
preserve,1
entering,1
prohibited,1
See,1
peninsulas,1
Ryoj,1
song,1
about,1
Sites,1
References,1
External,1
links,1
listing,1
Management,1
plans,1
PDF,1
Regional,1
Environment,1
Office,1
